,brand,product,color,rgb,rgb0,hex,x,y,r0,g0,b0
57,DIOR,"Rouge Dior Refillbart läppstift- Satin, matt, mettalic och sammetsfinish","080 Red Smile - Satin (3,5 g)","(217, 37, 36)","(255, 1, 0)",#d92524,212,217,255,1,0
58,DIOR,"Rouge Dior Refillbart läppstift- Satin, matt, mettalic och sammetsfinish","219 Rose Montaigne - Satin (3,5 g)","(216, 133, 119)","(255, 37, 0)",#d88577,114,216,255,37,0
59,DIOR,"Rouge Dior Refillbart läppstift- Satin, matt, mettalic och sammetsfinish","277 Osée - Satin (3,5 g)","(218, 112, 132)","(255, 0, 48)",#da7084,123,218,255,0,48
60,DIOR,"Rouge Dior Refillbart läppstift- Satin, matt, mettalic och sammetsfinish","365 New World - Satin (3,5 g)","(238, 111, 104)","(255, 13, 0)",#ee6f68,143,238,255,13,0
61,DIOR,"Rouge Dior Refillbart läppstift- Satin, matt, mettalic och sammetsfinish","434 Promenade - Satin (3,5 g)","(197, 104, 97)","(255, 18, 0)",#c56861,129,197,255,18,0
62,DIOR,"Rouge Dior Refillbart läppstift- Satin, matt, mettalic och sammetsfinish","453 Adorée - Satin (3,5 g)","(223, 32, 39)","(255, 0, 9)",#df2027,218,223,255,0,9
63,DIOR,"Rouge Dior Refillbart läppstift- Satin, matt, mettalic och sammetsfinish","520 Feel Good - Satin (3,5 g)","(223, 1, 52)","(255, 0, 59)",#df0134,253,223,255,0,59
64,DIOR,"Rouge Dior Refillbart läppstift- Satin, matt, mettalic och sammetsfinish","644 Sydney - Satin (3,5 g)","(183, 62, 67)","(255, 0, 11)",#b73e43,168,183,255,0,11
65,DIOR,"Rouge Dior Refillbart läppstift- Satin, matt, mettalic och sammetsfinish","663 Désir - Satin (3,5 g)","(208, 83, 99)","(255, 0, 33)",#d05363,153,208,255,0,33
66,DIOR,"Rouge Dior Refillbart läppstift- Satin, matt, mettalic och sammetsfinish","683 Rendez-vous - Satin (3,5 g)","(203, 95, 93)","(255, 5, 0)",#cb5f5d,138,203,255,5,0
67,DIOR,"Rouge Dior Refillbart läppstift- Satin, matt, mettalic och sammetsfinish","743 Rouge Zinnia - Satin (3,5 g)","(194, 26, 43)","(255, 0, 26)",#c21a2b,220,194,255,0,26
68,DIOR,"Rouge Dior Refillbart läppstift- Satin, matt, mettalic och sammetsfinish","766 Rose Harpers - Satin (3,5 g)","(221, 32, 88)","(255, 0, 76)",#dd2058,218,221,255,0,76
69,DIOR,"Rouge Dior Refillbart läppstift- Satin, matt, mettalic och sammetsfinish","844 Trafalgar - Satin (3,5 g)","(221, 48, 8)","(255, 48, 0)",#dd3008,245,221,255,48,0
70,DIOR,"Rouge Dior Refillbart läppstift- Satin, matt, mettalic och sammetsfinish","849 Rouge Cinéma - Satin (3,5 g)","(171, 55, 32)","(255, 42, 0)",#ab3720,207,171,255,42,0
71,DIOR,"Rouge Dior Refillbart läppstift- Satin, matt, mettalic och sammetsfinish","869 Sophisticated - Satin (3,5 g)","(162, 37, 31)","(255, 12, 0)",#a2251f,206,162,255,12,0
72,HUDA BEAUTY,Liquid Matte Minis Kit Ultra-comfort Transfer-proof Long Wear Matte Lipsticks,"Lip Kit (4 x 1,9 ml)","(161, 41, 50)","(255, 0, 19)",#a12932,190,161,255,0,19
73,DIOR,"Rouge Dior Refillbart läppstift- Satin, matt, mettalic och sammetsfinish","959 Charnelle - Satin (3,5 g)","(158, 54, 51)","(255, 7, 0)",#9e3633,172,158,255,7,0
74,DIOR,"Rouge Dior Refillbart läppstift- Satin, matt, mettalic och sammetsfinish","999 - Satin (3,5 g)","(187, 7, 16)","(255, 0, 13)",#bb0710,245,187,255,0,13
75,DIOR,"Rouge Dior Refillbart läppstift- Satin, matt, mettalic och sammetsfinish","525 Chérie - Metallic (3,5 g)","(189, 69, 78)","(255, 0, 19)",#bd454e,161,189,255,0,19
76,DIOR,"Rouge Dior Refillbart läppstift- Satin, matt, mettalic och sammetsfinish","678 Culte - Metallic (3,5 g)","(217, 65, 112)","(255, 0, 79)",#d94170,178,217,255,0,79
77,DIOR,"Rouge Dior Refillbart läppstift- Satin, matt, mettalic och sammetsfinish","999 - Metallic (3,5 g)","(215, 36, 39)","(255, 0, 4)",#d72427,212,215,255,0,4
78,DIOR,"Rouge Dior Refillbart läppstift- Satin, matt, mettalic och sammetsfinish","100 Nude Look - Mat (3,5 g)","(210, 128, 130)","(255, 0, 6)",#d28082,99,210,255,0,6
79,DIOR,"Rouge Dior Refillbart läppstift- Satin, matt, mettalic och sammetsfinish","314 Grand Bal (3,5 g)","(201, 106, 76)","(255, 61, 0)",#c96a4c,158,201,255,61,0
80,DIOR,"Rouge Dior Refillbart läppstift- Satin, matt, mettalic och sammetsfinish","505 Sensual - Mat (3,5 g)","(205, 137, 134)","(255, 11, 0)",#cd8986,88,205,255,11,0
81,DIOR,"Rouge Dior Refillbart läppstift- Satin, matt, mettalic och sammetsfinish","772 Classic- Mat (3,5 g)","(206, 111, 119)","(255, 0, 21)",#ce6f77,117,206,255,0,21
82,DIOR,"Rouge Dior Refillbart läppstift- Satin, matt, mettalic och sammetsfinish","846 Concorde - Mat (3,5 g)","(199, 63, 41)","(255, 36, 0)",#c73f29,202,199,255,36,0
83,DIOR,"Rouge Dior Refillbart läppstift- Satin, matt, mettalic och sammetsfinish","888 Strong Red - Mat (3,5 g)","(217, 53, 52)","(255, 2, 0)",#d93534,193,217,255,2,0
84,DIOR,"Rouge Dior Refillbart läppstift- Satin, matt, mettalic och sammetsfinish","964 Ambitious - Mat (3,5 g)","(171, 84, 93)","(255, 0, 26)",#ab545d,129,171,255,0,26
85,DIOR,"Rouge Dior Refillbart läppstift- Satin, matt, mettalic och sammetsfinish","999 - Mat (3,5 g)","(204, 55, 49)","(255, 10, 0)",#cc3731,193,204,255,10,0
86,DIOR,"Rouge Dior Refillbart läppstift- Satin, matt, mettalic och sammetsfinish","720 Icone - Velvet (3,5 g)","(190, 77, 71)","(255, 13, 0)",#be4d47,159,190,255,13,0
87,DIOR,"Rouge Dior Refillbart läppstift- Satin, matt, mettalic och sammetsfinish","760 Favorite - Velvet (3,5 g)","(182, 35, 41)","(255, 0, 10)",#b62329,205,182,255,0,10
88,DIOR,"Rouge Dior Refillbart läppstift- Satin, matt, mettalic och sammetsfinish","886 Enigmatic - Velours (3,5 g)","(116, 51, 59)","(255, 0, 31)",#74333b,142,116,255,0,31
89,DIOR,"Rouge Dior Refillbart läppstift- Satin, matt, mettalic och sammetsfinish","999 - Velvet (3,5 g)","(209, 39, 26)","(255, 18, 0)",#d1271a,223,209,255,18,0
90,DIOR,"Rouge Dior Refillbart läppstift- Satin, matt, mettalic och sammetsfinish","241 Pink Sakura - Satin (3,5 g)","(225, 125, 123)","(255, 5, 0)",#e17d7b,115,225,255,5,0
91,DIOR,"Rouge Dior Refillbart läppstift- Satin, matt, mettalic och sammetsfinish","348 Coral Peony - Satin (3,5 g)","(240, 127, 93)","(255, 59, 0)",#f07f5d,156,240,255,59,0
92,SEPHORA COLLECTION,Cream Lip Stain Liquid Lipstick,01 Always Red,"(237, 36, 44)","(255, 0, 10)",#ed242c,216,237,255,0,10
93,HUDA BEAUTY,Liquid Matte Ultra-comfort Transfer-proof Long Wear Matte Lipstick,"Wifey (4,2 ml)","(202, 131, 129)","(255, 7, 0)",#ca8381,92,202,255,7,0
94,FENTY BEAUTY BY RIHANNA,Poutsicle Juicy Satin Lipstick,Motorboat (3 g),"(89, 155, 233)","(0, 117, 255)",#599be9,157,233,0,117,255
95,SEPHORA COLLECTION,Cream Lip Stain Liquid Lipstick,02 Classsic Beige,"(207, 157, 148)","(255, 39, 0)",#cf9d94,72,207,255,39,0
96,SEPHORA COLLECTION,Cream Lip Stain Liquid Lipstick,03 Strawberry Kissed,"(238, 104, 129)","(255, 0, 48)",#ee6881,143,238,255,0,48
97,SEPHORA COLLECTION,Cream Lip Stain Liquid Lipstick,04 Endless Purple,"(185, 118, 135)","(255, 0, 65)",#b97687,92,185,255,0,65
98,SEPHORA COLLECTION,Cream Lip Stain Liquid Lipstick,05 Infinite Rose,"(234, 164, 154)","(255, 32, 0)",#eaa49a,87,234,255,32,0
99,SEPHORA COLLECTION,Cream Lip Stain Liquid Lipstick,06 Pink Soufflé,"(213, 153, 165)","(255, 0, 51)",#d599a5,71,213,255,0,51
100,SEPHORA COLLECTION,Cream Lip Stain Liquid Lipstick,09 Watermelon Slice,"(240, 121, 125)","(255, 0, 9)",#f0797d,126,240,255,0,9
101,SEPHORA COLLECTION,Cream Lip Stain Liquid Lipstick,13 Marvelous Mauve,"(203, 137, 141)","(255, 0, 15)",#cb898d,82,203,255,0,15
102,SEPHORA COLLECTION,Cream Lip Stain Liquid Lipstick,14 Blackberry Sorbet,"(145, 80, 88)","(255, 0, 31)",#915058,114,145,255,0,31
103,SEPHORA COLLECTION,Cream Lip Stain Liquid Lipstick,16 Cherry Nectar,"(175, 103, 125)","(255, 0, 78)",#af677d,104,175,255,0,78
104,SEPHORA COLLECTION,Cream Lip Stain Liquid Lipstick,17 Dark-Red,"(196, 103, 114)","(255, 0, 30)",#c46772,120,196,255,0,30
105,SEPHORA COLLECTION,Cream Lip Stain Liquid Lipstick,23 Copper Blush,"(206, 157, 150)","(255, 32, 0)",#ce9d96,69,206,255,32,0
106,SEPHORA COLLECTION,Cream Lip Stain Liquid Lipstick,24 Burnt Sienna,"(179, 120, 126)","(255, 0, 26)",#b3787e,84,179,255,0,26
107,HUDA BEAUTY,Liquid Matte Ultra-comfort Transfer-proof Long Wear Matte Lipstick,"Bombshell (4,2 ml)","(182, 93, 87)","(255, 16, 0)",#b65d57,133,182,255,16,0
108,HUDA BEAUTY,Liquid Matte Ultra-comfort Transfer-proof Long Wear Matte Lipstick,"Venus (4,2 ml)","(175, 112, 103)","(255, 32, 0)",#af7067,104,175,255,32,0
109,HUDA BEAUTY,Liquid Matte Ultra-comfort Transfer-proof Long Wear Matte Lipstick,"Trendsetter (4,2 ml)","(163, 90, 81)","(255, 28, 0)",#a35a51,128,163,255,28,0
110,HUDA BEAUTY,Liquid Matte Ultra-comfort Transfer-proof Long Wear Matte Lipstick,"Trophy Wife (4,2 ml)","(157, 61, 98)","(255, 0, 98)",#9d3d62,155,157,255,0,98
111,HUDA BEAUTY,Liquid Matte Ultra-comfort Transfer-proof Long Wear Matte Lipstick,"Muse (4,2 ml)","(198, 105, 134)","(255, 0, 80)",#c66986,119,198,255,0,80
112,HUDA BEAUTY,Liquid Matte Ultra-comfort Transfer-proof Long Wear Matte Lipstick,"Icon (4,2 ml)","(202, 52, 77)","(255, 0, 42)",#ca344d,189,202,255,0,42
113,HUDA BEAUTY,Liquid Matte Ultra-comfort Transfer-proof Long Wear Matte Lipstick,"Famous (4,2 ml)","(121, 43, 56)","(255, 0, 42)",#792b38,164,121,255,0,42
114,HUDA BEAUTY,Liquid Matte Ultra-comfort Transfer-proof Long Wear Matte Lipstick,"Perfectionist (4,2 ml)","(219, 127, 132)","(255, 0, 14)",#db7f84,107,219,255,0,14
115,HUDA BEAUTY,Liquid Matte Ultra-comfort Transfer-proof Long Wear Matte Lipstick,"First Class (4,2 ml)","(142, 65, 71)","(255, 0, 20)",#8e4147,138,142,255,0,20
116,HUDA BEAUTY,Liquid Matte Ultra-comfort Transfer-proof Long Wear Matte Lipstick,"Baby Doll (4,2 ml)","(220, 122, 137)","(255, 0, 39)",#dc7a89,113,220,255,0,39
117,HUDA BEAUTY,Liquid Matte Ultra-comfort Transfer-proof Long Wear Matte Lipstick,"Sweet Talker (4,2 ml)","(199, 123, 123)","(255, 0, 0)",#c77b7b,97,199,255,0,0
118,HUDA BEAUTY,Liquid Matte Ultra-comfort Transfer-proof Long Wear Matte Lipstick,"Sugar Boo (4,2 ml)","(216, 139, 113)","(255, 64, 0)",#d88b71,121,216,255,64,0
119,HUDA BEAUTY,Liquid Matte Ultra-comfort Transfer-proof Long Wear Matte Lipstick,"Drama Mama (4,2 ml)","(122, 46, 46)","(255, 0, 0)",#7a2e2e,158,122,255,0,0
120,HUDA BEAUTY,Liquid Matte Ultra-comfort Transfer-proof Long Wear Matte Lipstick,"Miss America (4,2 ml)","(197, 15, 38)","(255, 0, 32)",#c50f26,235,197,255,0,32
121,HUDA BEAUTY,Liquid Matte Ultra-comfort Transfer-proof Long Wear Matte Lipstick,"Slaytina (4,2 ml)","(230, 51, 18)","(255, 40, 0)",#e63312,235,230,255,40,0
122,FENTY BEAUTY BY RIHANNA,Poutsicle Juicy Satin Lipstick,Go Deep (3 g),"(45, 96, 143)","(0, 133, 255)",#2d608f,174,143,0,133,255
123,FENTY BEAUTY BY RIHANNA,Poutsicle Juicy Satin Lipstick,Purpsicle (3 g),"(179, 31, 181)","(252, 0, 255)",#b31fb5,211,181,252,0,255
124,FENTY BEAUTY BY RIHANNA,Gloss Bomb Dip Clip-On Universal Lip Gloss,Fenty Glow (6 gr),"(158, 86, 74)","(255, 36, 0)",#9e564a,135,158,255,36,0
125,SEPHORA COLLECTION,Cream Lip Stain Liquid Lipstick,25 Coral Sunset,"(128, 59, 43)","(255, 48, 0)",#803b2b,169,128,255,48,0
126,SEPHORA COLLECTION,Cream Lip Stain Liquid Lipstick,26 Pretty Auburn,"(152, 114, 103)","(255, 57, 0)",#987267,82,152,255,57,0
127,SEPHORA COLLECTION,Cream Lip Stain Liquid Lipstick,28 Night Bird,"(92, 92, 90)","(255, 255, 0)",#5c5c5a,5,92,255,255,0
128,SEPHORA COLLECTION,Cream Lip Stain Liquid Lipstick,29 Dark Forest,"(91, 106, 103)","(0, 255, 204)",#5b6a67,36,106,0,255,204
129,SEPHORA COLLECTION,Cream Lip Stain Liquid Lipstick,33 Pink Peony,"(182, 138, 127)","(255, 51, 0)",#b68a7f,77,182,255,51,0
130,SEPHORA COLLECTION,Cream Lip Stain Liquid Lipstick,37 Pink Frosting,"(185, 151, 150)","(255, 7, 0)",#b99796,48,185,255,7,0
131,SEPHORA COLLECTION,Cream Lip Stain Liquid Lipstick,38 Sweet Raspberry,"(192, 115, 147)","(255, 0, 106)",#c07393,102,192,255,0,106
132,SEPHORA COLLECTION,Cream Lip Stain Liquid Lipstick,39 Frozen Strawberry,"(183, 136, 128)","(255, 37, 0)",#b78880,76,183,255,37,0
133,SEPHORA COLLECTION,Cream Lip Stain Liquid Lipstick,40 Pink Tea,"(174, 137, 129)","(255, 45, 0)",#ae8981,65,174,255,45,0
134,SEPHORA COLLECTION,Cream Lip Stain Liquid Lipstick,41 Vintage Rosewood,"(184, 131, 127)","(255, 18, 0)",#b8837f,78,184,255,18,0
135,SEPHORA COLLECTION,Cream Lip Stain Liquid Lipstick,42 Rose Wood,"(163, 103, 102)","(255, 4, 0)",#a36766,95,163,255,4,0
136,SEPHORA COLLECTION,Cream Lip Stain Liquid Lipstick,69 Hippy Pink,"(227, 151, 153)","(255, 0, 7)",#e39799,85,227,255,0,7
137,SEPHORA COLLECTION,Cream Lip Stain Liquid Lipstick,70 First Date,"(203, 123, 116)","(255, 21, 0)",#cb7b74,109,203,255,21,0
138,SEPHORA COLLECTION,Cream Lip Stain Liquid Lipstick,72 Alter-ego,"(195, 152, 136)","(255, 69, 0)",#c39888,77,195,255,69,0
139,SEPHORA COLLECTION,Cream Lip Stain Liquid Lipstick,76 Blaze of Glory,"(157, 94, 76)","(255, 57, 0)",#9d5e4c,131,157,255,57,0
140,SEPHORA COLLECTION,Cream Lip Stain Liquid Lipstick,78 Chili Pepper,"(203, 67, 51)","(255, 27, 0)",#cb4333,190,203,255,27,0
141,SEPHORA COLLECTION,Cream Lip Stain Liquid Lipstick,80 Honeymoon,"(195, 121, 108)","(255, 38, 0)",#c3796c,113,195,255,38,0
142,SEPHORA COLLECTION,Cream Lip Stain Liquid Lipstick,81 Daydreaming,"(215, 143, 154)","(255, 0, 39)",#d78f9a,85,215,255,0,39
143,SEPHORA COLLECTION,Cream Lip Stain Liquid Lipstick,82 Warm Kiss,"(173, 123, 116)","(255, 31, 0)",#ad7b74,84,173,255,31,0
144,SEPHORA COLLECTION,Cream Lip Stain Liquid Lipstick,83 Cinder Rose,"(181, 132, 136)","(255, 0, 21)",#b58488,69,181,255,0,21
145,SEPHORA COLLECTION,Cream Lip Stain Liquid Lipstick,84 Rose Redux,"(193, 107, 110)","(255, 0, 9)",#c16b6e,113,193,255,0,9
146,SEPHORA COLLECTION,Cream Lip Stain Liquid Lipstick,85 Rosewood,"(206, 128, 141)","(255, 0, 43)",#ce808d,96,206,255,0,43
147,SEPHORA COLLECTION,Cream Lip Stain Liquid Lipstick,86 English Rose,"(166, 88, 101)","(255, 0, 43)",#a65865,119,166,255,0,43
148,SEPHORA COLLECTION,Cream Lip Stain Liquid Lipstick,87 Very Vintage,"(143, 88, 107)","(255, 0, 88)",#8f586b,98,143,255,0,88
149,SEPHORA COLLECTION,Cream Lip Stain Liquid Lipstick,90 Sunrise Pink,"(196, 59, 111)","(255, 0, 97)",#c43b6f,178,196,255,0,97
150,FENTY BEAUTY BY RIHANNA,Gloss Bomb Dip Clip-On Universal Lip Gloss,Fu$$y (6 g),"(162, 96, 110)","(255, 0, 54)",#a2606e,103,162,255,0,54
151,FENTY BEAUTY BY RIHANNA,Gloss Bomb Dip Clip-On Universal Lip Gloss,Hot Chocolit (6 g),"(104, 64, 65)","(255, 0, 6)",#684041,98,104,255,0,6
152,SEPHORA COLLECTION,Lip Blush Soft Matte Lip Color,01 Cashmere Kiss,"(174, 92, 71)","(255, 52, 0)",#ae5c47,150,174,255,52,0
153,NUDESTIX,Sunkissed Nudes Mini Set,3 pcs,"(176, 90, 75)","(255, 38, 0)",#b05a4b,146,176,255,38,0
154,FENTY BEAUTY BY RIHANNA, Gloss Bomb Doubletake Duo Gloss Set,Cupcakin' & Bubble Binge (2 x 9 ml),"(255, 61, 147)","(255, 0, 113)",#ff3d93,194,255,255,0,113
155,SEPHORA COLLECTION,Cream Lip Stain Liquid Lipstick,92 Flaming Flamingo,"(255, 105, 156)","(255, 0, 87)",#ff699c,150,255,255,0,87
156,SEPHORA COLLECTION,Cream Lip Stain Liquid Lipstick,94 Cherry Moon,"(166, 33, 64)","(255, 0, 59)",#a62140,204,166,255,0,59
157,SEPHORA COLLECTION,Cream Lip Stain Liquid Lipstick,96 Red Velvet,"(149, 62, 68)","(255, 0, 18)",#953e44,148,149,255,0,18
158,SEPHORA COLLECTION,Cream Lip Stain Liquid Lipstick,97 Red Desert,"(124, 48, 52)","(255, 0, 13)",#7c3034,156,124,255,0,13
159,SEPHORA COLLECTION,Cream Lip Stain Liquid Lipstick,99 Purple Red,"(95, 52, 59)","(255, 0, 42)",#5f343b,115,95,255,0,42
160,SEPHORA COLLECTION,Cream Lip Stain Liquid Lipstick,101 Plum Aurora,"(119, 42, 96)","(255, 0, 179)",#772a60,165,119,255,0,179
