brand,product,color,rgb,rgb0,hex
HUDA BEAUTY,Liquid Matte Ultra-comfort Transfer-proof Long Wear Matte Lipstick,"Bombshell (4,2 ml)","(182, 93, 87)","(255, 16, 0)",#b65d57
HUDA BEAUTY,Liquid Matte Ultra-comfort Transfer-proof Long Wear Matte Lipstick,"Venus (4,2 ml)","(175, 112, 103)","(255, 32, 0)",#af7067
HUDA BEAUTY,Liquid Matte Ultra-comfort Transfer-proof Long Wear Matte Lipstick,"Trendsetter (4,2 ml)","(163, 90, 81)","(255, 28, 0)",#a35a51
HUDA BEAUTY,Liquid Matte Ultra-comfort Transfer-proof Long Wear Matte Lipstick,"Trophy Wife (4,2 ml)","(157, 61, 98)","(255, 0, 98)",#9d3d62
HUDA BEAUTY,Liquid Matte Ultra-comfort Transfer-proof Long Wear Matte Lipstick,"Muse (4,2 ml)","(198, 105, 134)","(255, 0, 80)",#c66986
HUDA BEAUTY,Liquid Matte Ultra-comfort Transfer-proof Long Wear Matte Lipstick,"Icon (4,2 ml)","(202, 52, 77)","(255, 0, 42)",#ca344d
HUDA BEAUTY,Liquid Matte Ultra-comfort Transfer-proof Long Wear Matte Lipstick,"Famous (4,2 ml)","(121, 43, 56)","(255, 0, 42)",#792b38
HUDA BEAUTY,Liquid Matte Ultra-comfort Transfer-proof Long Wear Matte Lipstick,"Perfectionist (4,2 ml)","(219, 127, 132)","(255, 0, 14)",#db7f84
HUDA BEAUTY,Liquid Matte Ultra-comfort Transfer-proof Long Wear Matte Lipstick,"First Class (4,2 ml)","(142, 65, 71)","(255, 0, 20)",#8e4147
HUDA BEAUTY,Liquid Matte Ultra-comfort Transfer-proof Long Wear Matte Lipstick,"Baby Doll (4,2 ml)","(220, 122, 137)","(255, 0, 39)",#dc7a89
HUDA BEAUTY,Liquid Matte Ultra-comfort Transfer-proof Long Wear Matte Lipstick,"Sweet Talker (4,2 ml)","(199, 123, 123)","(255, 0, 0)",#c77b7b
HUDA BEAUTY,Liquid Matte Ultra-comfort Transfer-proof Long Wear Matte Lipstick,"Sugar Boo (4,2 ml)","(216, 139, 113)","(255, 64, 0)",#d88b71
HUDA BEAUTY,Liquid Matte Ultra-comfort Transfer-proof Long Wear Matte Lipstick,"Drama Mama (4,2 ml)","(122, 46, 46)","(255, 0, 0)",#7a2e2e
HUDA BEAUTY,Liquid Matte Ultra-comfort Transfer-proof Long Wear Matte Lipstick,"Miss America (4,2 ml)","(197, 15, 38)","(255, 0, 32)",#c50f26
HUDA BEAUTY,Liquid Matte Ultra-comfort Transfer-proof Long Wear Matte Lipstick,"Slaytina (4,2 ml)","(230, 51, 18)","(255, 40, 0)",#e63312
FENTY BEAUTY BY RIHANNA,Poutsicle Juicy Satin Lipstick,Go Deep (3 g),"(45, 96, 143)","(0, 133, 255)",#2d608f
FENTY BEAUTY BY RIHANNA,Poutsicle Juicy Satin Lipstick,Purpsicle (3 g),"(179, 31, 181)","(252, 0, 255)",#b31fb5
FENTY BEAUTY BY RIHANNA,Gloss Bomb Dip Clip-On Universal Lip Gloss,Fenty Glow (6 gr),"(158, 86, 74)","(255, 36, 0)",#9e564a
SEPHORA COLLECTION,Cream Lip Stain Liquid Lipstick,25 Coral Sunset,"(128, 59, 43)","(255, 48, 0)",#803b2b
SEPHORA COLLECTION,Cream Lip Stain Liquid Lipstick,26 Pretty Auburn,"(152, 114, 103)","(255, 57, 0)",#987267
SEPHORA COLLECTION,Cream Lip Stain Liquid Lipstick,28 Night Bird,"(92, 92, 90)","(255, 255, 0)",#5c5c5a
SEPHORA COLLECTION,Cream Lip Stain Liquid Lipstick,29 Dark Forest,"(91, 106, 103)","(0, 255, 204)",#5b6a67
SEPHORA COLLECTION,Cream Lip Stain Liquid Lipstick,33 Pink Peony,"(182, 138, 127)","(255, 51, 0)",#b68a7f
SEPHORA COLLECTION,Cream Lip Stain Liquid Lipstick,37 Pink Frosting,"(185, 151, 150)","(255, 7, 0)",#b99796
SEPHORA COLLECTION,Cream Lip Stain Liquid Lipstick,38 Sweet Raspberry,"(192, 115, 147)","(255, 0, 106)",#c07393
SEPHORA COLLECTION,Cream Lip Stain Liquid Lipstick,39 Frozen Strawberry,"(183, 136, 128)","(255, 37, 0)",#b78880
SEPHORA COLLECTION,Cream Lip Stain Liquid Lipstick,40 Pink Tea,"(174, 137, 129)","(255, 45, 0)",#ae8981
SEPHORA COLLECTION,Cream Lip Stain Liquid Lipstick,41 Vintage Rosewood,"(184, 131, 127)","(255, 18, 0)",#b8837f
SEPHORA COLLECTION,Cream Lip Stain Liquid Lipstick,42 Rose Wood,"(163, 103, 102)","(255, 4, 0)",#a36766
SEPHORA COLLECTION,Cream Lip Stain Liquid Lipstick,69 Hippy Pink,"(227, 151, 153)","(255, 0, 7)",#e39799
SEPHORA COLLECTION,Cream Lip Stain Liquid Lipstick,70 First Date,"(203, 123, 116)","(255, 21, 0)",#cb7b74
SEPHORA COLLECTION,Cream Lip Stain Liquid Lipstick,72 Alter-ego,"(195, 152, 136)","(255, 69, 0)",#c39888
SEPHORA COLLECTION,Cream Lip Stain Liquid Lipstick,76 Blaze of Glory,"(157, 94, 76)","(255, 57, 0)",#9d5e4c
SEPHORA COLLECTION,Cream Lip Stain Liquid Lipstick,78 Chili Pepper,"(203, 67, 51)","(255, 27, 0)",#cb4333
SEPHORA COLLECTION,Cream Lip Stain Liquid Lipstick,80 Honeymoon,"(195, 121, 108)","(255, 38, 0)",#c3796c
SEPHORA COLLECTION,Cream Lip Stain Liquid Lipstick,81 Daydreaming,"(215, 143, 154)","(255, 0, 39)",#d78f9a
SEPHORA COLLECTION,Cream Lip Stain Liquid Lipstick,82 Warm Kiss,"(173, 123, 116)","(255, 31, 0)",#ad7b74
SEPHORA COLLECTION,Cream Lip Stain Liquid Lipstick,83 Cinder Rose,"(181, 132, 136)","(255, 0, 21)",#b58488
SEPHORA COLLECTION,Cream Lip Stain Liquid Lipstick,84 Rose Redux,"(193, 107, 110)","(255, 0, 9)",#c16b6e
SEPHORA COLLECTION,Cream Lip Stain Liquid Lipstick,85 Rosewood,"(206, 128, 141)","(255, 0, 43)",#ce808d
SEPHORA COLLECTION,Cream Lip Stain Liquid Lipstick,86 English Rose,"(166, 88, 101)","(255, 0, 43)",#a65865
SEPHORA COLLECTION,Cream Lip Stain Liquid Lipstick,87 Very Vintage,"(143, 88, 107)","(255, 0, 88)",#8f586b
SEPHORA COLLECTION,Cream Lip Stain Liquid Lipstick,90 Sunrise Pink,"(196, 59, 111)","(255, 0, 97)",#c43b6f
FENTY BEAUTY BY RIHANNA,Gloss Bomb Dip Clip-On Universal Lip Gloss,Fu$$y (6 g),"(162, 96, 110)","(255, 0, 54)",#a2606e
FENTY BEAUTY BY RIHANNA,Gloss Bomb Dip Clip-On Universal Lip Gloss,Hot Chocolit (6 g),"(104, 64, 65)","(255, 0, 6)",#684041
SEPHORA COLLECTION,Lip Blush Soft Matte Lip Color,01 Cashmere Kiss,"(174, 92, 71)","(255, 52, 0)",#ae5c47
NUDESTIX,Sunkissed Nudes Mini Set,3 pcs,"(176, 90, 75)","(255, 38, 0)",#b05a4b
